label,scenario,detected,files_changed,files_before_detection,time_to_detect_sec,max_probability,entropy,uniform_dist,write_burst,dir_spread,rename_burst,suspicious_rename_target,header_mismatch,files_per_sec,extension_change_ratio,entropy_mean,entropy_max,uniform_mean,files_per_sec_max,write_burst_seen,dir_spread_seen,rename_burst_seen,suspicious_rename_target_seen,extension_change_ratio_max,header_mismatch_count
0,mass_delete,0,31,0,-1,0.5058,0.742,1.4922,1,0,0,0,0,2.9,0,4.6909,6.0423,1.6977,3.1,1,0,0,0,0,0
0,bulk_append,0,23,0,-1,0.311,0.748,1.4433,1,0,0,0,0,2.2,0,4.8145,5.9842,1.683,2.3,1,0,0,0,0,0
0,temp_churn,0,48,0,-1,0.8673,0.6149,1.6108,1,0,0,0,0,4.6,0,4.7851,4.9196,1.7489,4.6,1,0,0,0,0,0
0,mass_move,1,49,33,0.479,0.9988,0.9998,0.1963,1,1,0,0,1,4.4,0,5.2113,7.9984,1.4701,4.9,1,1,0,0,0,3
0,backup_snapshot,0,41,0,-1,0.9308,0.7422,1.4922,1,1,0,0,0,4,0,4.8232,6.0428,1.6579,4.1,1,1,0,0,0,0
0,mass_extract,1,19,15,0.559,0.9556,0.9998,0.2046,1,1,0,0,1,1.5,0,5.535,7.9983,1.2196,1.9,1,1,0,0,0,2
0,mass_rename,1,57,32,0.696,0.9708,0.9998,0.1948,1,0,0,0,1,2.8,0,4.9029,7.9984,1.5545,2.9,1,0,0,0,0,3
0,mass_copy,0,26,0,-1,0.8823,0.9997,0.1851,1,0,0,0,1,1.6,0,4.7298,7.9979,1.6451,2.6,1,1,0,0,0,2
0,mass_zip,0,5,0,-1,0.0738,0.9915,0.2197,0,0,0,0,0,0.4,0,5.9285,7.9546,0.6153,0.5,0,0,0,0,0,0
0,temp_churn,0,51,0,-1,0.8936,0.6159,1.6113,1,0,0,0,0,4.8,0,4.7579,4.9275,1.7499,4.8,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.8083,0.9998,0.2104,1,1,0,0,0,1.8,0,4.4375,7.9982,1.4328,1.9,1,1,0,0,0,0
0,mass_rename,0,57,0,-1,0.8163,0.9998,0.208,1,0,0,0,0,2.8,0,4.8456,7.9982,1.6073,2.9,1,0,0,0,0,0
0,bulk_append,0,23,0,-1,0.301,0.7446,1.4859,1,0,0,0,0,2.2,0,5.05,5.957,1.6475,2.3,1,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.9403,0.9998,0.1929,1,0,0,0,1,2.2,0,4.7246,7.9984,1.6182,2.6,1,1,0,0,0,2
0,mass_delete,0,30,0,-1,0.8371,0.9998,0.188,1,0,0,0,1,1.3,0,5.01,7.9984,1.5508,3.1,1,0,0,0,0,6
0,mass_move,1,49,37,0.463,0.9787,0.9998,0.1973,1,1,0,0,0,3.7,0,5.0282,7.9982,1.5864,4.9,1,1,0,0,0,0
0,mass_zip,0,5,0,-1,0.0748,0.9959,0.2104,0,0,0,0,0,0.4,0,6.2811,7.998,0.5494,0.5,0,0,0,0,0,0
0,backup_snapshot,0,41,0,-1,0.9433,0.9998,0.2129,1,1,0,0,0,2.9,0,4.9104,7.9981,1.6086,4.1,1,1,0,0,0,0
0,mass_extract,0,19,0,-1,0.4314,0.7426,1.4922,1,1,0,0,0,1.7,0,5.0708,7.9294,1.4626,1.9,1,1,0,0,0,0
0,mass_rename,1,57,43,0.635,0.9706,0.9998,0.2012,1,0,0,0,1,2.8,0,4.9788,7.9981,1.5108,2.9,1,0,0,0,0,6
0,temp_churn,0,53,0,-1,0.8809,0.6139,1.6104,1,0,0,0,0,4.7,0,4.7784,4.9292,1.7494,4.7,1,0,0,0,0,0
